Unnamed: 0,year,quarter,question_number,answer_number,question,answer,speaker_name,role,role_normalised,source_pdf,label
79,2023,Q2,25.0,2.0,"Right. But you were saying earlier deposit betas you do anticipate are going to be accelerating from here, and that's part of the outlook for NII longer-term to normalize in the mid-70s. Is that right? Got it.","Yeah. I mean, basically, yes. If you have – if the next round is going to be the beta will be 30 to 40 to 50 bps, I mean, whatever the product is, yeah, that's the lag. And the $2.5 billion will go down over time as that actually happens – if rates actually go up. If rates don't actually go up, that $2.5 billion may be exactly $2.5 billion again.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/jpm-2q23-earnings-call-transcript.pdf,Direct
80,2023,Q2,25.0,3.0,"Right. But you were saying earlier deposit betas you do anticipate are going to be accelerating from here, and that's part of the outlook for NII longer-term to normalize in the mid-70s. Is that right? Got it.","Yeah, exactly. And what I was going to say, Betsy, is just that the projection of the $87 billion coming down to a significantly lower number contains both the element of internal migration as well as the potential, which is by no means guaranteed, of product-level reprice. And furthermore then, obviously the dynamics are a little bit different in the different business segments as you move from large corporate Wholesale to Consumer.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/jpm-2q23-earnings-call-transcript.pdf,Evasive
83,2023,Q2,26.0,2.0,"Good morning. So I'm in your camp that eventually consumers will want more deposit rate sensitivity here. But I guess what would make you change your rates meaningfully? So the top two banks have about 50% consumer market share, loan-to-deposit ratios are low. Your outlook for loan growth, and I think others, is fairly sluggish, at least outside of Card. I get that it's common sense, and that's what we've seen historically. But there really is this kind of big divergence among big banks and everybody else where the big banks just don't need to pay that much for deposits for a slew of reasons. So what would make you change that? Yeah. I mean, again, I 100% agree, but we've never seen kind of loans-to-deposit ratios for banks like yours this low, so you could just let deposits run off at a modest amount for quite some time and make the decision not to pay up. I mean, I've seen the trade-off that eventually you'll... Got it. Okay. All right. Thank you.","I think every bank is in a different position about what they need, and so you have a whole range of outcomes. But remember, we do this also by city, so you have different competition in Arizona – in Phoenix – than you have in Chicago, Illinois. And when you do have high interest rate products, so it's a combination of all those things. I wouldn't call it big bank versus small bank, and you're going to see when everyone reports who kind of paid up a little more for things and who didn't and things like that. So, look, guys, I would take it as a given. I think it's a mistake. There is very little pricing power in most of our business and betas are going to go up. Take it as a given. There is no circumstance that we've ever seen in the history of banking where rates didn't get to a certain point that you had to have competing products. And rates go up through migration or direct rates or movement to CDs or money market funds. We're going to have to compete for that – you already see it in parts of our business, and not in other parts.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/jpm-2q23-earnings-call-transcript.pdf,Direct
87,2023,Q2,27.0,1.0,"Morning. Jeremy, on page 4 of your presentation, you show some liquidity metrics. And there's been a meaningful deterioration, or I shouldn't say deterioration, depletion of some of that excess liquidity, obviously for First Republic primarily. So my question is how quickly do you want to rebuild that liquidity because as I look out towards 2024, there's probably a half dozen variables that are going to make liquidity a premium event – to have excess liquidity? So that's my first question. What's your plans for replenishing that liquidity?","Yeah. Charlie, so I know we talked about this a little bit at Investor Day, right? So as I said in my prepared remarks, yeah, we think about half of the change in the bank LCR number is a consequence of First Republic and the rest of it is just the expected decrease in system-wide deposits flowing through into our HQLA balances and the bank LCR ratio. So that's all entirely as expected and therefore, I think that the replenishing notion is not correct. In fact, obviously, we still have ample, ample liquidity. Now, if you want to project trends forward, that's a different story but that's sort of the business of banking. We'll adjust accordingly in terms of our asset and liability mix across different products and to ensure compliance to the ratios and fortress balance sheet principles as you would expect from us.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/jpm-2q23-earnings-call-transcript.pdf,Direct
88,2023,Q2,27.0,2.0,"Morning. Jeremy, on page 4 of your presentation, you show some liquidity metrics. And there's been a meaningful deterioration, or I shouldn't say deterioration, depletion of some of that excess liquidity, obviously for First Republic primarily. So my question is how quickly do you want to rebuild that liquidity because as I look out towards 2024, there's probably a half dozen variables that are going to make liquidity a premium event – to have excess liquidity? So that's my first question. What's your plans for replenishing that liquidity?","And I would just add to that – just look at the top of the page in the press release, $1.4 trillion of cash and marketable securities. Even if we get down to no excess, we're going to have like, I forgot the exact number, $1.2 trillion. I think we have excess liquidity, and the liquidity ratio is slightly something different. I think there's plenty of liquidity in the system and, of course, we do multiple things to change this overnight if we wanted to.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/jpm-2q23-earnings-call-transcript.pdf,Direct
89,2023,Q2,28.0,1.0,"All right. So sort of wrapped into that as a follow-up, if you take your $87 billion forecast for NII this year, and that implies at least one quarter of maybe $22 billion of NII, and you take your eventual forecast of mid-$70 billion of NII at some point in the future, that would imply at least one quarter of $18 billion of NII so that's about an 18% drop. And if you hold the balance sheet steady, you're talking about a 30-basis point drop in your margin, your NIM, to get from $22 billion to $18 billion. I mean, what is driving – is it really the deposit or are you thinking in terms of interest reversals as credit deteriorates or is it rebuilding of liquidity? I'm just trying to get a better sense of the impact is.","Yeah. Hey, Charlie. I would think about that as being really entirely a deposit story. It's just not that complicated, right? I think we did this – I think it was either in the fourth quarter or in the first quarter – where we put a little chart on a page, just very simple terms, that shows what the dollar consequences are of whatever – like 10-basis point change in deposit rate paid in terms of NII run rate. So whether it's as a consequence of migration from lower-yielding to higher-yielding, going from 0% to a 4% CD is obviously a big impact on margin. Or whether it's because savings reprices, relatively small changes in rate there are kind of a lot of money when you've got a couple trillion dollars of deposits. So it's really not any more complicated than that and that's why we're being so forceful about reminding people about what we expect that trajectory to be.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/jpm-2q23-earnings-call-transcript.pdf,Direct
90,2023,Q3,1.0,1.0,"Hi, good morning. Jeremy, I was wondering if you could give us a little more color in what you're seeing so far on deposit reprice and migration. What's been better than expected so far on that front? And how do you see higher-for-longer rates potentially impacting deposit reprice pressure?","Sure. Thanks, John. I think the themes are pretty much the same as we've seen in prior quarters. So, as we talked a little bit about on the press call, we've been trying to be a little bit cautious about recognizing that we don't think the current levels are sustainable and we do think that we'll have to reprice in some pockets to some degree, maybe tiering or whatever at some point in the future. And, of course, that hasn't happened yet this year, so that's one factor. In the meantime, the CD strategy is working well. We're getting – continue to get very good feedback from the field and we're capturing money in motion, and so we're seeing the sort of internal migration and the associated slow increase in deposit rate paid as a result of CD migration. But that’s sort of working as we would have hoped and so everything is kind of playing out according to plan, I would say. In terms of higher-for-longer, I think it just means that there will continue to be upward pressure on deposit pricing both from internal migration and possibly moderate effects. And in the end, as we always say, we’re going to price products as a function of the competitive market environment.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
91,2023,Q3,2.0,1.0,"And just as a follow up, it seems like you’ve done some securities repositioning the last couple quarters. How are you positioning the balance sheet in terms of cash and the securities portfolio, given your outlook for rates?","Yeah. I think I would say that while we're not predicting higher rates, I don't know if Jamie will have something to say here, we believe in being prepared for it and that's been our position for some time and, of course, that's produced good results. And we continue to try to position ourselves so that neither have significantly higher rates nor significant lower rates present a particularly large challenge to the company. So probably at the margin, we're still a little bit biased for slightly higher rates. But, do keep in mind that when modeling the duration of the balance sheet, higher rates do extend the duration or rather shorten the duration on the deposit side, so that can be a factor as well.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Evasive
92,2023,Q3,3.0,1.0,"Hi. Jeremy, I was hoping to just inquire about the capital markets outlook. You cited improved activity levels in September. But given persistently higher rates, geopolitical tensions, and just poor performance of recent IPOs, how are you thinking about the outlook over the near to medium term? And how are you thinking about just the timing of an inflection activity?","Yeah. Good question. I mean, as you know obviously, the current levels in investment banking remain quite depressed; certainly relative to the elevated levels we saw during the pandemic, but even relative to sort of 2019, which is what you might consider the last normal year. We do eventually think we'll recover to those levels and hopefully recover to above those levels, recognizing by the time it happens you will have had many years of economic growth in the meantime. And to be fair, while the current environment is a little bit complicated and mixed and there are some headwinds as you pointed out, things have improved a little bit. And I think I would say our banking team is a little bit more optimistic than they were last quarter. So it feels to me like a little bit of a slow grind with some positive momentum but obviously significant uncertainty in the outlook and some structural headwinds given lower levels of announced M&A and some regulatory headwinds on that side.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
93,2023,Q3,4.0,1.0,"Thanks for the color. Just for my follow up, on some of the regulatory commentary you provided. Certainly, a lot of helpful color in the slides, so thank you for that. If the proposal were to go through as written, what proportion of the inflation do you believe can be mitigated over time? And was also hoping you could provide some context as to the quantum of how you think CECL inclusion could potentially impact the SCB and CCAR. Very helpful color, Jeremy. Thanks for taking my question.","Yeah. Those are all good questions, Steve. I think it's probably too early to try to provide that level of quantification on either front. If I start first with the Basel III Endgame proposal, from our perspective, we're currently focused on advocating as aggressively as possible for the necessary changes. Some of which are what you might call philosophical in nature or some of the things I highlighted in my prepared remarks, but some of them are sort of very technical in nature, including things that we think might actually be mistakes in the proposal. And so talking a lot about optimizing away stuff that might change just feels like a bit premature at this point. I would point out that given how significant operational risk RWA is as part of the proposal, that is, you can think of that sort of as a generic tax across the entire spectrum and is therefore in some sense non-optimizable. So, we feel that it's important to manage expectations about the level of optimization that's possible, once the rule is finalized and hopefully some of the technical items are addressed. Also, it depends on your definition of optimization. Sometimes I use the term costless optimization, whereas these technical fixes that don’t affect revenue and don’t require you to exit businesses; I think that type of optimization will be harder to find than it has been in the past. But as we pointed out, we may simply need to exit things. And that will be because it is better than the alternative, which would be to do activity that’s shareholder value destructive but it won’t be costless. A good example of that is the renewable energy tax credit investment business, which as a result of the quadrupling of the risk weight, may no longer make sense. Now, that's one that we hope will be changed but it's tricky because those are very long duration assets. So between now and the rule is finalized, it raises some questions about whether we want to put that stuff on the balance sheet. So, sorry a bit of a long answer but then, yeah, on quantifying CECL and CCAR, I think we better wait for that one. Cause given the relative lack of transparency that we have into the Fed's exact modeling, in terms of which quarter is the peak and so on and so forth, it's a little bit hard to predict what the exact impact of putting CECL and CCAR is going to be. We just know probabilistically that it will, like everything else these days, tend to push capital higher.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
94,2023,Q3,5.0,1.0,"Hey. Good morning. Just first question, Jeremy, on credit. I think you mentioned some of the reserves release was tied to the change in the central scenario. So just talk to us and remind us what the central scenario is today, what changed? And then in terms of fundamentally on credit, like where are you seeing softness either on the Consumer or the Commercial side?","Yeah. So on the central scenario, you should read the research that gets put out by our competitors and our excellent research team. No, but in all seriousness, I think our U.S. economists had their central case outlook to include a very mild recession with I think two quarters of negative half a percent of GDP growth in the fourth quarter and first quarter of this year, and that then got revised out early this quarter to now have sort of modest growth I think around 1% for a few quarters into 2024. So, just flowing that through our process while acknowledging that we're still skewed to the downside, we're still reserved to a significantly higher unemployment rate on a weighted-average basis than is in the central case outlook. So that number we've sometimes given you is 5.5% this quarter. So, it's really not much more complicated than that. We're just kind of following the process. And I think your other question was where am I seeing softness in credit? And I think the answer to that is actually nowhere, roughly. We're certainly nowhere that's not expected, meaning, we continue to see the normalization story play out in Consumer more or less exactly as expected, and then of course, we are seeing a trickle of charge-offs coming through the office space. You see that in the charge-off number of the Commercial Bank, but the numbers are very small and more or less just the realization of the allowance that we've already built there.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
95,2023,Q3,6.0,1.0,"That's helpful. And just going back to the details you laid out on Basel Endgame, maybe on the philosophical side I think Jamie was speaking last month, said that we don't expect any changes but at the same time, you make everything that makes sense in terms of the pushback. Is it all falling on deaf ears from a shareholder perspective? Are we resigned to the fact that we are going to see more towards the worst-case outcome play out or is there some level of sort of meeting in the middle of the road as this thing gets finalized? Got it. Thank you. BPI did, yeah. Operator: Thank you. Our next question comes from Ryan Kenny with Morgan Stanley. You may proceed.","Yeah. So I'll let Jamie speak for himself on that point, but our job is to advocate. We're not going to guess what the sentiment is in Washington. It's a thousand-page rule proposal, as you know. We've got the big team of very smart people studying it very closely. Interestingly, we noted recently that in some of the analysis that they did about the impact on lending, they sort of forgot about like – the Fed, in their preamble, they forgot about a $1 billion (sic) [trillion] of operational risk RWA. So it just highlights that there is the possibility, or seemed to have forgotten, they simply omitted the impact of the operational risk RWA on fees. So anyway, the point is it's long, it’s complicated, it’s technical. We do think there are probably some technical mistakes in there. We're not going to forcefully advocate on all of those. And while we disagree with a lot of this stuff, these are technical issues that should be, in some sense, resolved technically, and hopefully they'll listen.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Evasive
99,2023,Q3,7.0,1.0,Want to dig in on the NII side. So you raised the 2023 NII ex. Markets guidance by $2 billion for this year. So I know your comments in the press release suggest JPMorgan's over earning. So I just want to triangulate there. What does normalized NII look like? And do we get to normalized next year or later on? Got it.,"Yeah, a couple things. So, let me do the timing question first. So we're being very clear that we are not predicting when. When is going to be a function of the marketplace and the rate environment and competitive dynamics and so on and so forth. So we're just really just trying to remind everyone to not bank on the current run rates, which we just don't fundamentally think are sustainable. You'll be aware that before Investor Day earlier this year, we tried to quantify what we thought that kind of normalized range might look like, and we put a sort of mid-70s type number out there. And at Investor Day, we talked about how the acquisition of First Republic was going to push that number up a little bit, although there was some overlap and so on and so forth. So anyway, with the benefit of time and having everything settled in a little bit, if you sort of push us for that, kind of, what is that number now look like, we think it’s probably closer to about $80 billion, with all of the obvious caveats that this is a guess, and we don’t know when. But we’re just trying to point out that it’s quite a bit lower than the current run rate.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
104,2023,Q3,8.0,1.0,"And then on the loan growth side, industry loan growth has slowed significantly this year. What demand are you seeing for loan growth across the different categories? And I know it might be too early to talk about next year, but directionally, how should we think about loan growth given where we are in the cycle and the higher capital requirements coming?","Yeah, sure. So on loan growth, the story is pretty consistent with what we've been saying all year. So we've, of course, seen very robust loan growth in Card, and that's coming from both spending growth and the normalization in revolving balances. As we look forward, we're still optimistic about that, but it'll probably be a little bit more muted than it has been during this normalization period.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
105,2023,Q3,8.0,2.0,"And then on the loan growth side, industry loan growth has slowed significantly this year. What demand are you seeing for loan growth across the different categories? And I know it might be too early to talk about next year, but directionally, how should we think about loan growth given where we are in the cycle and the higher capital requirements coming?","In Auto, we've also seen pretty robust loan growth recently, both as a function of sort of slightly more competitive pricing on our side as the industry was a little bit slow to raise rates. And so we lost some share previously, and that's come back now. And generally, the supply chain situation is better, so that's been supported. As we look forward there, it should be a little bit more muted. And I think generally in Wholesale the loan growth story is going to be driven just by the economic environment. So depending on what you believe about soft landing, mild recession, no landing, you have slightly lower or slightly higher loan growth. But in any case, I would expect it to be relatively muted. And, of course, Home Lending remains fairly constrained both by rates and market conditions. But also, and I think this is true across the board, we will be managing things actively, as mentioned in light of Basel III, which may not change originations, but it will change what we retain.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
106,2023,Q3,10.0,1.0,"Jeremy, you guys have put up a really strong ROTCE number of 22% for the quarter. And when you dive into your different segments, what really jumps out at us is the 40% ex-First Republic ROE in Consumer & Community Banking. I know you and Jamie have talked about your over-earning on credit. We get that. But in view of all of these fintechs and all of these other nonbank competitors that we're all supposed to pick away at everybody's market share, you guys have put up great numbers here. What's the drivers behind an ROE? Even when you take that credit over-earning out, what's driving this business' profitability at such high levels?","Yeah, Gerard. So I'd say a couple things there. So first, it's not just credit. It's also deposit margin, right? So when we talk about over-earning on NII, a disproportionate amount of that is coming out of the Consumer franchise for all of the reasons that we've talked about. But, I would also point out sometimes we don't like the word over-earning because right now, customers are happy and they're doing CDs. And the broader answer to your question about why we're able to be effectively really comes back to a decade, two decade long history of investing for the future and recognizing that there's a holistic value proposition here that includes branches, and the app, and all of the online services, and the entire suite of products and services that is around this enterprise which drives engagement and customer loyalty. And we're seeing some of the benefits of that now, although we're not complacent. The competition is still there. The fintechs are still there, and we know we need to continue investing to preserve the value. And it's also true that the particular circumstances of the current rate and credit environment mean that the earnings are a little bit above normal, but that core franchise is extremely robust.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
107,2023,Q3,11.0,1.0,"Very good. And then as a follow up, which ties into your answer on the deposit margin and consumer and your earlier comments you and Jamie about the internal debate inside JPMorgan about the migration of rates going higher on the funding side. Your non-interest-bearing deposits I think are around 28% of total deposits which is slightly above the 26% you guys had back in 2018 or 2019 or pre-pandemic. Is this expectation that you're going to see more of the non-interest-bearing deposits go into interest-bearing? Or, is it just the repricing of interest- bearing deposits that have some of your folks inside JPMorgan a little more cautious on that net interest income number?","Yeah. It's a good question, Gerard. I think it's a little bit bigger picture than that. And I'm not sure – I get your questions, a good question, but I'm not sure that the reported interest-bearing, non-interest-bearing split is the best lens to look at this through for a couple of reasons. So first, like between Wholesale and Retail, we've got some amount of non-interest-bearing and Wholesale that's part of the ECR product, so you see some dynamics there that play out. And in Consumer, in a world where savings is paying a relatively low-rate paid to cross-checking and savings, the migration dynamics are probably not that different right now. But then of course, even within Consumer across both consumers and small businesses, you've got slightly different dynamics in terms of how people manage their operating balances. So I would tend to zoom out a little bit and see this as a holistic answer, that's driven by internal migration from checking, savings to CDs, from ECR to interest-bearing and Wholesale and then our potential response to the rate environment, the competitive environment, the overall level of system-wide deposits in terms of product level reprice that may or may not happen in moments in the future.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
108,2023,Q3,12.0,1.0,"Hi. Good morning. Jeremy, my first question is for you, again sort of maybe re-asking the question in a different way. Your new guide for net interest income for this year would imply an exit run rate of $22.9 billion in the fourth quarter. As we think about the dynamics in higher-for- longer, on one hand, your fixed rate assets will continue to reprice. On the other, you even asked a lot about the deposit dynamics that could continue to creep higher. How do we think about those puts and takes as we think about that relative to that exit rate of $22.9 billion in the fourth quarter?","Yeah. So, Erika, I think the simple answer to your question is I believe that fourth quarter exit number equates to a $90 billion run rate ex. Markets and we're kind of saying...",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
114,2023,Q3,12.0,7.0,"Hi. Good morning. Jeremy, my first question is for you, again sort of maybe re-asking the question in a different way. Your new guide for net interest income for this year would imply an exit run rate of $22.9 billion in the fourth quarter. As we think about the dynamics in higher-for- longer, on one hand, your fixed rate assets will continue to reprice. On the other, you even asked a lot about the deposit dynamics that could continue to creep higher. How do we think about those puts and takes as we think about that relative to that exit rate of $22.9 billion in the fourth quarter?","So call it $90 billion run rate on an exit rate basis, and we're saying that we think something a bit more normal is closer to $80 billion, so that's one building block. Underneath that, I think one thing that's interesting actually, is that as the percentage of the deposits which are CDs increases, the sort of balance between internal migration and betas and rate and volume, it's a little bit less binary and a little bit smoother, so when we look at this type of stuff and we model migration, balances, product level reprice, as you get out of that lower zero bound with 0% CD mix world, things get a little bit smoother, I would say, overall. So it'll be interesting to watch that, but it's obviously one of the most important things for us as a company right now and we do everything we can to manage it, but it's also worth remembering that the big picture point is just the client franchise and as we've often said, we're very focused on primary bank relationships and we didn't lose any of those in the last cycle, and we're not planning to lose any in this cycle, and that's what sort of a long-term focus means for us.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Evasive
115,2023,Q3,12.0,8.0,"Hi. Good morning. Jeremy, my first question is for you, again sort of maybe re-asking the question in a different way. Your new guide for net interest income for this year would imply an exit run rate of $22.9 billion in the fourth quarter. As we think about the dynamics in higher-for- longer, on one hand, your fixed rate assets will continue to reprice. On the other, you even asked a lot about the deposit dynamics that could continue to creep higher. How do we think about those puts and takes as we think about that relative to that exit rate of $22.9 billion in the fourth quarter?","And I would just add quantitative tightening in there. That will be a large number, and we don't exactly know the effect, where wholesale, consumer as – remember also the Fed has the RRP program which is also sucking money into the Fed directly and reducing deposits. That's still a trillion too.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
116,2023,Q3,13.0,1.0,"Thank you. And my second question is on maybe zooming out on the Basel III Endgame impacts. It's clearly complex, overly complex, and I completely agree with you that it is unnecessary at this point and very backward looking. I guess, what is not complex is the fact that you generated 75 basis points of CET1 this quarter while your RWAs are down. And I guess my question here is, is that I understand that we're in the public advocacy process. I hear you loud and clear in terms of how this could have harm in terms of pricing for Main Street and dislocating the pipes in American capital markets. But for JPMorgan, does this change your natural return profile of 17%? Jamie, I know you lingered a little bit on 14% when you were at Barclays in September. But at the end of the day, it feels like for the portfolio managers that own JPMorgan through the cycle, does Basel III Endgame really harm your natural earnings power and returns? Got it. Operator: Thank you. Our next question comes from Glenn Schorr with Evercore ISI. You may proceed.","Yeah. Okay. That's a good question, Erika. I think there's a couple pieces in there, so let me take the most important piece first, which is the 17% through the cycle target. Are we keeping that or not in light of the Basel III Endgame proposal? So, short answer is we're not going to change that number today, but when you look at what we've disclosed about a 25% increase in capital, you have to start by acknowledging that that is a major headwind to returns.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
117,2023,Q3,13.0,2.0,"Thank you. And my second question is on maybe zooming out on the Basel III Endgame impacts. It's clearly complex, overly complex, and I completely agree with you that it is unnecessary at this point and very backward looking. I guess, what is not complex is the fact that you generated 75 basis points of CET1 this quarter while your RWAs are down. And I guess my question here is, is that I understand that we're in the public advocacy process. I hear you loud and clear in terms of how this could have harm in terms of pricing for Main Street and dislocating the pipes in American capital markets. But for JPMorgan, does this change your natural return profile of 17%? Jamie, I know you lingered a little bit on 14% when you were at Barclays in September. But at the end of the day, it feels like for the portfolio managers that own JPMorgan through the cycle, does Basel III Endgame really harm your natural earnings power and returns? Got it. Operator: Thank you. Our next question comes from Glenn Schorr with Evercore ISI. You may proceed.","In simple terms, you talk about earnings power and returns, but they're two different things, right. We have to be a little bit pedantic and do numerator and denominator here. Okay, so say the numerator doesn't change. If you just dilute down the numerator by the increased capital, that's a significantly lower return number. I would say that that's probably the lower bound in terms of the impact of the Basel III Endgame for a couple reasons. One is, we are hoping for changes. Two is, once the rule is final, we will seek to reprice in the places where we can. And that'll be different in Consumer and Wholesale, some of it will be product level, some of it will be relationship level, but that hopefully can mitigate some of it but of course the flip side of that is that's cost getting passed into the real economy and that's part of the point that we've made about lowering availability of products and services and lending. There may be some opportunities for costless optimization. I'm personally a little bit more pessimistic about those, but we've surprised ourselves on those points in the past, so we'll see. And then finally, yeah, we may stop doing certain things and we may exit things. But, I wouldn't necessarily assume that that's going to do a lot to preserve returns at the 17%. That's going to be about exiting things that are shareholder-destructive, but not necessarily producing much higher returns, if you know what I mean. So that's that, and then the other part of your question implicitly was talking about organic capital generation and I think it's just very important to separate impacts on the economy and impacts on long-term returns from our ability to meet the requirements. Of course, as Jamie always says, JPMorgan is going to be fine and we're building a lot of capital and we were managing capital conservatively and we'll be able to build the necessary capital in order to achieve on-time or early compliance, which is always what we strive to do, but that doesn't really have any particular bearing on the question of what the long-term return target is or the impacts on the real economy.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
119,2023,Q3,14.0,2.0,"Hi. Thank you. So I very much appreciate the comments in the release on the big picture things, what's going on in the world and their potential impact on markets, on food markets, global trade, everything that you mentioned, and sadly agree about the most dangerous time in decades. The question I have is, does it surprise you that markets are hanging in, that you, yourself, have green shoots or still green shoots type of mindset about banking while that's going on? And then maybe more importantly, if you believe what obviously what you wrote, what are you doing about it? How do you manage yourself conservatively? How do you prepare for tougher times?","You want to start? Okay. So, I mean, on green shoots, you'll just note that our comments are cautious. I mean, there is momentum. I do think we are a little bit more optimistic than we were, but obviously, markets have been bumpy, both equity markets and rate markets have been very whippy recently. So we don't want to get too carried away with optimism here. We are coming in off a very low base and so there's a hope and an expectation that we are on the path to normalization and improvement. And of course, the overall economic picture at least currently looks solid, this sort of immaculate disinflation trade is actually happening. So those are all reasons to be a little bit optimistic in the near-term, but it's tempered with quite a bit of caution.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Evasive
120,2023,Q3,14.0,3.0,"Hi. Thank you. So I very much appreciate the comments in the release on the big picture things, what's going on in the world and their potential impact on markets, on food markets, global trade, everything that you mentioned, and sadly agree about the most dangerous time in decades. The question I have is, does it surprise you that markets are hanging in, that you, yourself, have green shoots or still green shoots type of mindset about banking while that's going on? And then maybe more importantly, if you believe what obviously what you wrote, what are you doing about it? How do you manage yourself conservatively? How do you prepare for tougher times?","So I would add a question. There has been an extraordinary amount of fiscal monetary stimulus still in the system, and you can't look at, and of course, it can drive markets in sentiment and sales and profits and all that, but you can't stay like this forever. Between QT, if you never had and how much the fiscal stimulus could continue at this rate before you have kind of the crowding out kind of factor. So I think people have to be very cautious, and of course, the geopolitics I think is just an extraordinary issue we have to deal with. How do you prepare the company for that? We do 100 stress tests a week, and we do multiple views of it, including geopolitical problems, interest rate problems, but usually, geopolitics presents itself as a deep recession or a mild recession, or a recession part of the world, or markets going down a lot, and because markets do well is not a reason, ever, to say that they are going to continue to do well. If you don't believe me, remember 1987, 1990, 1994, the year 2000, the year 2009, and people don't predict those inflection points. But my caution is that we are facing so many uncertainties out there. You just got to be very cautious with what you're facing. And like I said, the other thing about the green shoots, regardless of that, we try to run the company so that we serve the clients day in and day out, better products and better services, securely, safely, and all those things, so that's the ultimate goal. We know there are going to be bad times. That's not a surprise that there are going to be bad times. We don't always know how they're coming, and where they're coming from, but we'll keep on serving clients and doing good for clients, you can build a good business kind of separate from what it does to your returns. That's a slightly different issue at this point, but we'll deal with that too when we figure out what to do.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
122,2023,Q3,15.0,1.0,"Hi. I understand the NII strategy benefited from First Republic, asset sensitivity, CD strategy, money in motion, and I'm curious to how much is the NII increase and the deposit benefits a function of the 67 million digital banking customers? Do you have more digital banking customers than branch customers now? If you can just refresh that. And then a more general question. I guess I have the first one for Jeremy and the second one for Jamie. You have record tech spend. What's the benefit of having record tech spend, if you can kind of mark-to-market your thoughts there as it relates to AI, as it relates to maybe wasted spending, your outlook for next year? And does it really help to be the biggest tech spender in the banking industry?","Yes. Let me do digital banking, Mike. I spent some time on this actually a couple weeks ago. And it's interesting to note this sort of extent to which the growth in digitally engaged consumers is higher than the overall growth in consumer accounts, meaning that we're continuing to increase the percentage of our consumers that are digitally engaged. And it sort of goes back to my prior point... Jamie Dimon Chairman & Chief Executive Officer, JPMorgan Chase & Co. But the percent who are digital only is much lower than that.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-3q23-earnings-call-transcript-checkpoint.pdf,Direct
